requirement_text,predicted_label,true_label,confidence,reasoning,key_indicators,processing_time
User shall be able to permanently remove selected deleted requirements or all deleted requirements from document,FR,FR,0.95,"This requirement describes a specific system function that defines what the system must do. It specifies a user action of removing requirements, which is a clear system behavior with an explicit action verb.",shall be able; remove; deleted requirements; user action,2.593209
The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,FR,FR,0.9,"This requirement describes a specific system function that defines WHAT the system must do. It specifies a clear system behavior of returning lead data and rejection reasons, which is a concrete system action.",leads washing functionality; return; lead data; reason of rejection,2.422867
All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,FR,FR,0.85,"This requirement describes a specific system behavior related to formatting letter requests, which defines what the system must do. It specifies a system function involving data formatting and processing.",formatted; guidelines; letter requests; system,2.21238
The UIMiddleware shall provide a list of all active UAVs,FR,FR,0.95,"This requirement describes a specific system function (providing a list of active UAVs), which defines WHAT the system must do. It contains an action verb 'provide' and specifies a clear system behavior of generating a list of active UAVs.",provide; list; active; UAVs; shall,2.374605
The product shall record meeting entries.,FR,FR,0.9,This requirement describes a specific system function that defines what the system must do. It uses an action verb 'record' and specifies a clear system behavior of capturing meeting entries.,shall record; system function; action verb,2.06824
The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,NFR,FR,0.85,"While the first part sounds like a functional requirement, the second part clearly specifies a usability quality attribute related to ease of use, which is a non-functional requirement. The focus is on HOW WELL the system can be used, not specifically WHAT it does.",easy to use; usability; System Administrators; after two weeks; learnability,2.71281
The product shall remove players who have been inactive for 24 hours from the list of players.,FR,FR,0.95,This requirement describes a specific system action (removing players) that defines what the system must do. It contains an action verb 'remove' and specifies a clear system behavior for managing player lists.,shall remove; players; inactive; list of players,2.548289
The WASP platform should offer a tool that helps the 3rd party service provider to specify more complex profiles.,FR,FR,0.9,"This requirement describes a specific system function (offering a tool) that enables a user action (specifying profiles). It defines WHAT the system must do, which is characteristic of a Functional Requirement.",offer a tool; specify; helps; system function,2.252219
The system must support current open standards and support exposure of metadata in different ways.,NFR,NFR,0.85,"This requirement describes a system quality attribute related to compatibility and interoperability, focusing on HOW the system should interact with standards and metadata rather than a specific functional behavior.",support; open standards; metadata; different ways; compatibility; interoperability,2.304707
The product shall have security.The product shall provide authentication and authorization.,NFR,NFR,0.9,"This requirement describes a quality attribute related to system security, specifically focusing on authentication and authorization mechanisms. It specifies HOW the system should protect access rather than defining a specific functional behavior. It aligns with the ISO/IEC 25010 Security characteristic, which covers confidentiality, integrity, and access control.",security; authentication; authorization; access control,2.797319
When the hit results in sinking a ship the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,FR,FR,0.95,"This requirement describes a specific system behavior and function - displaying information about a ship that has been sunk during gameplay. It specifies what the system must do when a particular event occurs, which is a classic characteristic of a functional requirement.",indicate; type of ship; sunk; defensive grid; shall,2.713504
Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,FR,FR,0.95,"This requirement describes a specific system function that defines what the system must do. It specifies a clear action (adding students to a cohort) and identifies the users who can perform this action, which are characteristics of a functional requirement.",shall be able to; add; listing; students; cohort; system function,2.484178
The product shall store new conference rooms.,FR,FR,0.9,"This requirement describes a specific system function of storing conference room data, which defines WHAT the system must do. It contains an action verb 'store' and specifies a clear system behavior of data storage.",store; shall; product; conference rooms,2.07448
If the shot was marked as a hit the product shall allow the offensive player to define a shot.,FR,FR,0.95,"This requirement describes a specific system behavior and interaction, defining what the system must do when a certain condition is met. It specifies a functional action of allowing a player to define a shot after a hit is marked.",shall allow; define a shot; system behavior; player interaction,2.572767
User shall be able to export ReqView document to HTML using a custom template,FR,FR,0.95,This requirement describes a specific system function that defines what the system must do. It specifies a user action of exporting a document with a particular output format and customization option.,export; shall be able to; using; custom template; system function,2.445354
The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,NFR,FR,0.85,"This requirement specifies a quality attribute related to data validation and system reliability, focusing on HOW WELL the system handles data rather than a specific function. It describes a constraint on data quality that falls under the ISO/IEC 25010 Reliability and Security characteristics.",data integrity; reduce possibility; incorrect data; invalid data; checking,3.001778
The WASP platform must allow end-users to set an alert on an event.,FR,FR,0.95,This requirement describes a specific system function that defines what the system must do. It specifies a user interaction capability (setting an alert) which directly defines a system behavior.,allow; set; alert; end-users; system function,2.219725
"There should be detailed documentation available covering the technical architecture of the software, showing the interrelationships between the various software components and supporting services (e.g. web server, database etc.)",NFR,NFR,0.9,"This requirement describes a quality attribute related to documentation and system architecture, which falls under the maintainability characteristic of ISO/IEC 25010. It specifies a non-functional aspect of the system that supports understanding and documentation of the software structure, rather than defining a specific system function.",documentation; technical architecture; interrelationships; supporting services; maintainability,2.989167
The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,NFR,NFR,0.9,"This requirement describes a system-wide performance and scalability characteristic rather than a specific system function. It focuses on HOW the system will handle processing (multi-threading) and distribute workload (load balancing), which aligns with Performance Efficiency and Reliability quality attributes from ISO/IEC 25010.",multi-threading; load balancing; data load spikes; traffic; performance; scalability,3.183321
The system shall prevent malicious attacks including denial of service.,NFR,NFR,0.95,"This requirement specifies a security constraint focused on system protection, which aligns with the ISO/IEC 25010 Security characteristic. It describes how the system should behave in terms of security rather than a specific functional action.",prevent; malicious attacks; security; denial of service; system protection,2.413966
The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,NFR,NFR,0.9,"This requirement describes a quality attribute related to system reliability and resilience, focusing on HOW the system should handle failures rather than a specific system function. It specifies a system property (fault tolerance) that falls under the ISO/IEC 25010 Reliability characteristic.",robust; fault tolerance; recovery technique; routing around failures; compensatory transaction,2.816768
An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,NFR,NFR,0.9,"This requirement describes a quality attribute related to user satisfaction and usability, rather than a specific system function. It specifies a measurement of customer comfort (95%) which is characteristic of a non-functional requirement focused on the system's performance from a user experience perspective.",95%; customer comfort; survey; usability; user satisfaction,2.72783
When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,FR,FR,0.9,"This requirement describes a specific system behavior (simulating a sound) triggered by a user action (taking a shot). It defines what the system must do, specifying a concrete function of the product.",simulate; shall; takes a shot; system behavior,2.395456
The system shall achieve 95% up time.,NFR,NFR,0.95,"This requirement specifies a system-wide performance constraint related to system availability, which is a key characteristic of the Reliability quality attribute in ISO/IEC 25010. It describes HOW WELL the system must perform, not a specific function, and includes a percentage measurement typical of non-functional requirements.",95% up time; achieve; uptime; availability; performance constraint,2.858194
The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,NFR,NFR,0.9,"This requirement specifies a scalability and performance constraint related to system capacity, which aligns with the Performance Efficiency characteristic of ISO/IEC 25010. It describes HOW WELL the system must perform in terms of user load, rather than a specific system function.",handle; concurrent users; performance; scalability; within 2 years,2.748678
The number of mistakes noted by the students shall be decreased by 50% in the first year.,NFR,NFR,0.9,"This requirement specifies a performance improvement goal with a quantitative measurement, focusing on the quality of outcomes rather than a specific system function. It describes a performance constraint related to error reduction, which aligns with the Non-Functional Requirement characteristics of performance efficiency and quality improvement.",decreased by 50%; performance improvement; first year; quality constraint,3.162311
User shall be able to input up to 10 filtering criterions. Each criterion can be a text keyword or name of attribute with the matched value,FR,FR,0.95,"This requirement describes a specific system function that defines what the user can do (input filtering criterions). It specifies a concrete system behavior and user interaction, detailing the capability to input and define search/filter parameters.",input; filtering; criterions; user shall be able; text keyword; attribute; matched value,2.883881
When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.,FR,FR,0.9,This requirement describes a specific system behavior (simulating a sound) triggered by a particular system event (shot marked as miss). It defines a concrete function of what the system must do when a certain condition occurs.,simulate; sound; shall; system behavior; action,2.492999
User shall be able to choose if he wants to present the found requirements with or without their structure (all parent section headings on all levels),FR,FR,0.95,"This requirement describes a specific system function that defines what the user can do with the system. It specifies a user interaction and system capability for presenting requirements, which directly defines a system behavior.",shall be able to; choose; present; with or without; system function,2.680581
The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,NFR,NFR,0.9,"This requirement describes a quality attribute related to maintainability and modifiability, focusing on how the system should be designed rather than what specific function it performs. It specifies a constraint on system design and developer integration efficiency, which aligns with Non-Functional Requirement characteristics from ISO/IEC 25010 (specifically Maintainability and Modifiability).",design patterns; coding best practices; maintenance; integrate functionality; working days; 90% of developers,3.547666
The estimator shall search for available recycled parts using damaged vehicle parts information.,FR,FR,0.95,This requirement describes a specific system function that defines WHAT the system must do. It specifies a clear action (search) with defined inputs (damaged vehicle parts information) and expected outcome (finding available recycled parts).,shall search; system function; action verb; specific behavior,2.453951
For each turn the product shall allow the offensive player to define a shot.,FR,FR,0.95,"This requirement describes a specific system behavior and function that defines what the system must do during gameplay. It specifies a direct interaction between the user (offensive player) and the system, detailing a specific capability of allowing shot definition.",shall allow; define a shot; system behavior; user interaction,2.679765
