requirement_text,predicted_label,true_label,confidence,reasoning,key_indicators,processing_time
The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,FR,FR,0.95,"The requirement specifies WHAT data the system must display (5 most recent messages) and HOW to process that data (truncate to first 150 characters), describing specific system behavior and data transformation rather than quality attributes.",shall contain; most recently posted messages; will contain; first 150 characters; data display; data processing,12.190792
The UIMiddleware accepts commands from UIs and forwards to Dronology,FR,FR,0.95,"Describes specific system behavior and data flow between components (accepting and forwarding commands), which defines WHAT the system must do rather than how well it performs.",accepts commands; forwards; data flow; system behavior,9.458903
The WASP platform must be able to draw a map of a given area.,FR,FR,0.95,The requirement specifies a specific system function (drawing a map) rather than a quality attribute or constraint. It describes WHAT the system must do using the action verb 'draw'.,draw; map; must be able to; given area; system function,9.990837
The application shall have a downtime of at most 10 minutes per year.,NFR,NFR,0.95,"Specifies a reliability constraint (availability) with a measurable time limit, focusing on how well the system must perform rather than what it does.",downtime; at most 10 minutes per year; availability constraint; time measurement,9.905412
Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,NFR,FR,0.95,The requirement specifies a performance constraint (time limit) for a system function rather than defining the function itself. It focuses on HOW WELL the system must perform the recreation process.,shall take no more than; 30min; performance constraint; time limit,10.586404
All actions that modify an existing dispute case must be recorded in the case history.,FR,FR,0.95,The requirement specifies a specific system behavior (recording actions) rather than a quality attribute. It describes WHAT the system must do with data modification events.,recorded; actions that modify; must be recorded; case history,8.629731
User shall be able to permanently remove selected deleted requirements or all deleted requirements from document,FR,FR,0.95,Describes a specific system function for data manipulation - permanently removing requirements from a document. Contains action verbs indicating system behavior.,remove; permanently remove; selected deleted requirements; all deleted requirements; from document,9.010945
The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,FR,FR,0.95,"Describes a specific system behavior (returning data with rejection reasons) that the leads washing functionality must perform, focusing on what the system does rather than how well it does it.",return; lead data; reason of rejection; functionality; will,9.613033
All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,FR,FR,0.85,"The requirement specifies a specific system behavior (formatting data) that must be performed, which is a functional capability rather than a quality attribute.",formatted; must be; according to guidelines; specified by,9.517643
The UIMiddleware shall provide a list of all active UAVs,FR,FR,0.95,Describes a specific system function (providing a list) rather than a quality attribute. Contains action verb 'provide' and specifies system behavior.,provide; list; active UAVs; system shall,9.278262
The product shall record meeting entries.,FR,FR,0.95,The requirement describes a specific system function (recording data) rather than a quality attribute or constraint. It contains the action verb 'record' and specifies what the system must do.,record; shall; meeting entries; system function,8.431224
The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,NFR,FR,0.9,"The second part specifies a usability quality attribute (ease of use after training period) rather than a system function, aligning with ISO/IEC 25010 Usability characteristic.",easy to use; System Administrators and DBAs; after two weeks of usage; usability quality,10.066227
The product shall remove players who have been inactive for 24 hours from the list of players.,FR,FR,0.95,The requirement describes a specific system behavior (removing inactive players) rather than a quality attribute. It contains the action verb 'remove' and specifies what the system must do with data.,remove; players; inactive; list of players; system behavior,9.377867
The WASP platform should offer a tool that helps the 3rd party service provider to specify more complex profiles.,FR,FR,0.9,"Describes a specific system capability (offering a tool) and its function (helping users specify profiles), focusing on WHAT the system must do rather than quality attributes.",offer a tool; helps; specify; profiles; system capability,9.61532
The system must support current open standards and support exposure of metadata in different ways.,NFR,NFR,0.85,"This requirement specifies interoperability and adaptability constraints rather than describing specific system functions. It focuses on how well the system should integrate with external systems and how flexibly it should expose metadata, which aligns with ISO/IEC 25010 Compatibility and Portability characteristics.",support current open standards; exposure of metadata in different ways; interoperability constraint; adaptability requirement,10.7305
The product shall have security.The product shall provide authentication and authorization.,NFR,NFR,0.95,The requirement specifies security quality attributes (authentication and authorization) rather than describing specific system behaviors or functions. This aligns with ISO/IEC 25010 Security characteristics.,security; authentication; authorization; quality attributes,8.569937
When the hit results in sinking a ship the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,FR,FR,0.95,"The requirement specifies a specific system behavior (indicating ship type) that must occur in response to a game event (sinking a ship), describing WHAT the system must do rather than how well it must perform.",indicate; shall; type of ship sunk; defensive grid; system behavior,10.711195
Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,FR,FR,0.95,"Describes a specific system function (adding students to cohorts) that authorized users must be able to perform, focusing on WHAT the system does rather than quality attributes.",add; listing of students; shall be able to; user capability; system function,9.979168
The product shall store new conference rooms.,FR,FR,0.95,"The requirement describes a specific system function (data storage) using the action verb 'store', indicating what the system must do rather than how well it should perform.",store; shall; new conference rooms; data storage function,8.949462
If the shot was marked as a hit the product shall allow the offensive player to define a shot.,FR,FR,0.95,"The requirement specifies a specific system behavior (allowing a player to define a shot) based on a condition (shot marked as hit), describing what the system must do rather than how well it performs.",allow; define a shot; system behavior; action verb,10.561938
User shall be able to export ReqView document to HTML using a custom template,FR,FR,0.95,Describes a specific system function (exporting documents) with a specific format transformation (to HTML) using a specific method (custom template). Contains action verb 'export' and specifies system behavior.,export; to HTML; using a custom template; system function; data transformation,10.083522
The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,FR,FR,0.9,"The requirement describes a specific system function (data integrity checking) that the system must perform, which is a behavior that processes and validates data inputs.",data integrity checking; reduce possibility; incorrect or invalid data; system shall have,8.88702
The WASP platform must allow end-users to set an alert on an event.,FR,FR,0.95,Describes a specific user interaction and system capability (setting alerts) rather than a quality attribute or constraint.,allow; set an alert; end-users; event; user interaction,9.0189
"There should be detailed documentation available covering the technical architecture of the software, showing the interrelationships between the various software components and supporting services (e.g. web server, database etc.)",NFR,NFR,0.9,"This requirement specifies a quality attribute (documentation completeness) rather than a system function. It relates to the ISO/IEC 25010 Maintainability characteristic, specifically analyzability and modifiability through proper documentation.",detailed documentation; technical architecture; interrelationships; supporting services; quality attribute,11.148418
The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,NFR,NFR,0.9,"The requirement specifies quality attributes (multi-threading and load balancing) that address how well the system handles performance under load, which falls under Performance Efficiency in ISO/IEC 25010. It describes system properties rather than specific functions.",multi-threading; load balancing; overcome data load spikes; traffic; performance efficiency,11.879271
The system shall prevent malicious attacks including denial of service.,NFR,NFR,0.95,This requirement specifies a security quality attribute (protection against attacks) rather than describing a specific system function or behavior. It aligns with ISO/IEC 25010 Security characteristics including integrity and availability protection.,prevent malicious attacks; denial of service; security protection; quality attribute,9.963052
The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,NFR,NFR,0.95,"The requirement specifies quality attributes (robustness, fault tolerance) and implementation techniques to achieve reliability, which aligns with ISO/IEC 25010 Reliability characteristics rather than describing specific system functions.",robust; fault tolerance; recovery technique; routing around failures; reliability quality,10.605794
An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,NFR,NFR,0.95,"This requirement specifies a usability quality attribute (user comfort and satisfaction) measured through a survey with a specific percentage target, rather than describing a system function or behavior.",anonymous survey; 95%; comfortable; usability; percentage measurement,9.637583
When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,FR,FR,0.95,"The requirement specifies a specific system behavior (sound simulation) that must occur in response to a user action (taking a shot), describing WHAT the system must do rather than how well it must perform.",simulate; shall; sound; when the offensive player takes a shot,9.854229
The system shall achieve 95% up time.,NFR,NFR,0.98,"Specifies a reliability constraint (availability) with a measurable percentage, focusing on how well the system must perform rather than what it does.",95%; up time; reliability constraint; percentage measurement,8.81173
The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,NFR,NFR,0.95,This requirement specifies a performance capacity constraint (handling concurrent users) rather than describing a specific system function. It focuses on the scalability aspect of Performance Efficiency as defined in ISO/IEC 25010.,handle 10 000 concurrent users; within 2 years; performance capacity; scalability constraint,10.465472
The number of mistakes noted by the students shall be decreased by 50% in the first year.,NFR,NFR,0.9,"This requirement specifies a quality improvement goal (reduction in mistakes) with a measurable target (50% decrease), focusing on how well the system performs rather than what specific functions it must execute.",decreased by 50%; number of mistakes; first year; quality improvement; measurable target,10.79709
User shall be able to input up to 10 filtering criterions. Each criterion can be a text keyword or name of attribute with the matched value,FR,FR,0.95,"The requirement describes specific user interactions and system capabilities for data filtering, focusing on WHAT the system must do rather than quality attributes.",input; filtering criterions; text keyword; attribute with matched value; user shall be able to,10.345763
When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.,FR,FR,0.95,"The requirement describes a specific system behavior (simulating a sound) in response to a specific event (shot marked as miss), which defines WHAT the system must do rather than how well it performs.",simulate; shall; when a shot is marked; system behavior,10.459401
User shall be able to choose if he wants to present the found requirements with or without their structure (all parent section headings on all levels),FR,FR,0.95,The requirement describes a specific user interaction and system function - the ability to toggle between different presentation formats for requirements. It defines WHAT the system must do rather than HOW WELL it should perform.,choose; present; user shall be able to; with or without structure; system function,10.577659
The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,NFR,NFR,0.95,"This requirement specifies quality attributes related to maintainability (ISO/IEC 25010) rather than describing specific system functions. It focuses on how well the system should be designed and how easily it can be modified, with measurable constraints on developer efficiency.",designed using Design Patterns; coding best practices; 90% of maintenance software developers; integrate new functionality; within 2 working days; maintainability,12.183087
The estimator shall search for available recycled parts using damaged vehicle parts information.,FR,FR,0.95,Describes a specific system function (searching for parts) using action verbs and specifying system behavior rather than quality attributes.,search; shall; available recycled parts; using damaged vehicle parts information,8.500155
For each turn the product shall allow the offensive player to define a shot.,FR,FR,0.95,"Describes a specific system function that enables user interaction and data input, focusing on WHAT the system must do rather than how well it performs.",allow; define; player interaction; system function; shall,9.399651
